#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
1,1,1,3.04,2.19924,0.308442,2.07224,0.075,-1
1,1,1,3.04,2.19924,0.308442,2.07224,0.005,0
1,1,1,3.04,2.19924,0.308442,2.07224,0,1
1,1,1,3.04,2.19924,0.308442,2.07224,0.01,0
1,1,1,3.04,2.19924,0.308442,2.07224,0.025,1
1,1,1,3.04,2.19924,0.308442,2.07224,0.05,-1
1,1,1,3.04,2.19924,0.308442,2.07224,0.1,-1
1,1,1,3.04,2.19924,0.308442,2.07224,0.001,0
1,1,1,7.88,4.54911,0.140327,2.44377,0.001,0
1,1,1,7.88,4.54911,0.140327,2.44377,0,0
1,1,1,7.88,4.54911,0.140327,2.44377,0.075,-1
1,1,1,7.88,4.54911,0.140327,2.44377,0.05,-1
1,1,1,7.88,4.54911,0.140327,2.44377,0.025,1
1,1,1,7.88,4.54911,0.140327,2.44377,0.1,-1
1,1,1,7.88,4.54911,0.140327,2.44377,0.005,0
1,1,1,7.88,4.54911,0.140327,2.44377,0.01,1
1,1,1,62.1,31.6942,0.015691,2.9622,0.1,-1
1,1,1,62.1,31.6942,0.015691,2.9622,0.075,-1
1,1,1,62.1,31.6942,0.015691,2.9622,0.001,0
1,1,1,62.1,31.6942,0.015691,2.9622,0.05,-1
1,1,1,62.1,31.6942,0.015691,2.9622,0,0
1,1,1,62.1,31.6942,0.015691,2.9622,0.025,1
1,1,1,62.1,31.6942,0.015691,2.9622,0.01,1
1,1,1,62.1,31.6942,0.015691,2.9622,0.005,1
1,1,1,5.74,3.87544,0.11457,2.7489,0.075,-1
1,1,1,5.74,3.87544,0.11457,2.7489,0,0
1,1,1,5.74,3.87544,0.11457,2.7489,0.001,1
1,1,1,5.74,3.87544,0.11457,2.7489,0.005,1
1,1,1,5.74,3.87544,0.11457,2.7489,0.05,-1
1,1,1,5.74,3.87544,0.11457,2.7489,0.01,1
1,1,1,5.74,3.87544,0.11457,2.7489,0.1,-1
1,1,1,5.74,3.87544,0.11457,2.7489,0.025,-1
1,1,1,32.9,16.9617,0.0543752,2.09306,0,0
1,1,1,32.9,16.9617,0.0543752,2.09306,0.025,1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.075,-1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.005,1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.05,-1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.1,-1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.01,1
1,1,1,32.9,16.9617,0.0543752,2.09306,0.001,0
1,1,1,12.69,6.87109,0.123284,2.14334,0.01,1
1,1,1,12.69,6.87109,0.123284,2.14334,0,0
1,1,1,12.69,6.87109,0.123284,2.14334,0.075,-1
1,1,1,12.69,6.87109,0.123284,2.14334,0.05,-1
1,1,1,12.69,6.87109,0.123284,2.14334,0.1,-1
1,1,1,12.69,6.87109,0.123284,2.14334,0.025,1
1,1,1,12.69,6.87109,0.123284,2.14334,0.001,0
1,1,1,12.69,6.87109,0.123284,2.14334,0.005,0
1,1,1,12.69,6.88962,0.111948,2.2872,0.075,-1
1,1,1,12.69,6.88962,0.111948,2.2872,0.025,1
1,1,1,12.69,6.88962,0.111948,2.2872,0.05,-1
1,1,1,12.69,6.88962,0.111948,2.2872,0.01,1
1,1,1,12.69,6.88962,0.111948,2.2872,0.1,-1
1,1,1,12.69,6.88962,0.111948,2.2872,0,0
1,1,1,12.69,6.88962,0.111948,2.2872,0.005,0
1,1,1,12.69,6.88962,0.111948,2.2872,0.001,0
1,1,1,23.95,12.9225,0.0237864,3.26999,0.01,1
1,1,1,23.95,12.9225,0.0237864,3.26999,0.075,-1
1,1,1,23.95,12.9225,0.0237864,3.26999,0.001,0
1,1,1,23.95,12.9225,0.0237864,3.26999,0.025,1
1,1,1,23.95,12.9225,0.0237864,3.26999,0.05,-1
1,1,1,23.95,12.9225,0.0237864,3.26999,0.1,-1
1,1,1,23.95,12.9225,0.0237864,3.26999,0.005,0
1,1,1,23.95,12.9225,0.0237864,3.26999,0,0
1,1,1,12.69,6.85669,0.134647,1.99914,0.075,-1
1,1,1,12.69,6.85669,0.134647,1.99914,0.005,1
1,1,1,12.69,6.85669,0.134647,1.99914,0.05,-1
1,1,1,12.69,6.85669,0.134647,1.99914,0.1,-1
1,1,1,12.69,6.85669,0.134647,1.99914,0.001,0
1,1,1,12.69,6.85669,0.134647,1.99914,0.025,1
1,1,1,12.69,6.85669,0.134647,1.99914,0.01,1
1,1,1,12.69,6.85669,0.134647,1.99914,0,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0.025,1
1,1,1,10.83,7.41644,0.0330199,3.30427,0.001,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0.05,-1
1,1,1,10.83,7.41644,0.0330199,3.30427,0.1,-1
1,1,1,10.83,7.41644,0.0330199,3.30427,0.005,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0.075,-1
1,1,1,10.83,7.41644,0.0330199,3.30427,0.01,0
1,1,1,38.57,19.7967,0.0465837,2.10218,0,0
1,1,1,38.57,19.7967,0.0465837,2.10218,0.075,-1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.05,-1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.025,1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.1,-1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.005,1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.001,0
1,1,1,38.57,19.7967,0.0465837,2.10218,0.01,1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.075,-1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.01,1
1,1,1,72.79,37.1807,0.00920338,3.27588,0,0
1,1,1,72.79,37.1807,0.00920338,3.27588,0.001,0
1,1,1,72.79,37.1807,0.00920338,3.27588,0.05,-1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.1,-1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.025,1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.005,1
1,1,1,72.79,36.9067,0.0249806,2.12745,0,0
1,1,1,72.79,36.9067,0.0249806,2.12745,0.01,1
1,1,1,72.79,36.9067,0.0249806,2.12745,0.025,1
1,1,1,72.79,36.9067,0.0249806,2.12745,0.05,-1
1,1,1,72.79,36.9067,0.0249806,2.12745,0.1,-1
1,1,1,72.79,36.9067,0.0249806,2.12745,0.075,-1
1,1,1,72.79,36.9067,0.0249806,2.12745,0.001,0
1,1,1,72.79,36.9067,0.0249806,2.12745,0.005,1
1,1,1,100,50.8442,0.00587596,3.3728,0.001,0
1,1,1,100,50.8442,0.00587596,3.3728,0.075,-1
1,1,1,100,50.8442,0.00587596,3.3728,0.01,0
1,1,1,100,50.8442,0.00587596,3.3728,0.05,-1
1,1,1,100,50.8442,0.00587596,3.3728,0.1,-1
1,1,1,100,50.8442,0.00587596,3.3728,0,0
1,1,1,100,50.8442,0.00587596,3.3728,0.005,0
1,1,1,100,50.8442,0.00587596,3.3728,0.025,1
1,1,1,2.21,1.68781,0.477435,1.69876,0.01,0
1,1,1,2.21,1.68781,0.477435,1.69876,0.001,0
1,1,1,2.21,1.68781,0.477435,1.69876,0.005,0
1,1,1,2.21,1.68781,0.477435,1.69876,0.075,-1
1,1,1,2.21,1.68781,0.477435,1.69876,0,1
1,1,1,2.21,1.68781,0.477435,1.69876,0.025,1
1,1,1,2.21,1.68781,0.477435,1.69876,0.05,-1
1,1,1,2.21,1.68781,0.477435,1.69876,0.1,-1
1,1,1,1.61,1.3605,0.646653,1.42632,0.025,1
1,1,1,1.61,1.3605,0.646653,1.42632,0.075,-1
1,1,1,1.61,1.3605,0.646653,1.42632,0.01,1
1,1,1,1.61,1.3605,0.646653,1.42632,0.001,1
1,1,1,1.61,1.3605,0.646653,1.42632,0.05,-1
1,1,1,1.61,1.3605,0.646653,1.42632,0.1,-1
1,1,1,1.61,1.3605,0.646653,1.42632,0,1
1,1,1,1.61,1.3605,0.646653,1.42632,0.005,1
1,1,1,62.1,34.2558,0.00254074,3.77883,0.075,-1
1,1,1,62.1,34.2558,0.00254074,3.77883,0.025,1
1,1,1,62.1,34.2558,0.00254074,3.77883,0.005,0
1,1,1,62.1,34.2558,0.00254074,3.77883,0.05,-1
1,1,1,62.1,34.2558,0.00254074,3.77883,0,0
1,1,1,62.1,34.2558,0.00254074,3.77883,0.1,-1
1,1,1,62.1,34.2558,0.00254074,3.77883,0.001,0
1,1,1,62.1,34.2558,0.00254074,3.77883,0.01,0
1,1,1,38.57,19.9778,0.0221681,3.04389,0.001,0
1,1,1,38.57,19.9778,0.0221681,3.04389,0.075,-1
1,1,1,38.57,19.9778,0.0221681,3.04389,0.005,1
1,1,1,38.57,19.9778,0.0221681,3.04389,0.025,1
1,1,1,38.57,19.9778,0.0221681,3.04389,0.05,-1
1,1,1,38.57,19.9778,0.0221681,3.04389,0.1,-1
1,1,1,38.57,19.9778,0.0221681,3.04389,0.01,1
1,1,1,38.57,19.9778,0.0221681,3.04389,0,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.025,1
1,1,1,17.43,11.7537,0.013676,3.54459,0.001,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.005,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.01,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.05,-1
1,1,1,17.43,11.7537,0.013676,3.54459,0.1,-1
1,1,1,17.43,11.7537,0.013676,3.54459,0,0
1,1,1,17.43,11.7537,0.013676,3.54459,0.075,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.075,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.01,1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.05,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.1,-1
1,1,1,85.32,43.2697,0.0129079,2.85236,0.005,1
1,1,1,85.32,43.2697,0.0129079,2.85236,0,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.001,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.025,1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.1,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.075,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.01,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.05,-1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.001,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.025,1
1,1,1,85.32,51.0286,0.000858451,3.88042,0.005,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.075,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.05,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.1,-1
1,1,1,72.79,37.0767,0.0118877,3.08049,0.001,0
